¾²Ï¢,Õý,ÖÐ,
16:42:13,16:43:34,16:45:08,
,,,
CTP208 ,D4:F5:13:0B:7B:1B,,
,,,
,,,
,,,
,,,
,,,
,,,
20250526,16:38:25,183.6,
20250526,16:38:25,183.6,
20250526,16:38:25,183.6,
20250526,16:38:25,183.6,
20250526,16:38:26,183.6,
20250526,16:38:26,183.6,
20250526,16:38:26,183.6,
20250526,16:38:26,183.6,
20250526,16:38:27,183.6,
20250526,16:38:27,183.6,
20250526,16:38:27,183.6,
20250526,16:38:27,183.6,
20250526,16:38:28,183.6,
20250526,16:38:28,183.6,
20250526,16:38:28,183.6,
20250526,16:38:29,183.6,
20250526,16:38:29,183.6,
20250526,16:38:29,183.6,
20250526,16:38:29,183.6,
20250526,16:38:30,183.6,
20250526,16:38:30,183.6,
20250526,16:38:30,183.6,
20250526,16:38:31,183.6,
20250526,16:38:31,183.6,
20250526,16:38:31,183.6,
20250526,16:38:31,183.6,
20250526,16:38:32,183.6,
20250526,16:38:32,183.6,
20250526,16:38:32,183.6,
20250526,16:38:32,183.6,
20250526,16:38:33,183.6,
20250526,16:38:33,183.6,
20250526,16:38:33,183.6,
20250526,16:38:34,183.6,
20250526,16:38:34,183.6,
20250526,16:38:34,183.6,
20250526,16:38:34,183.6,
20250526,16:38:35,183.6,
20250526,16:38:35,183.6,
20250526,16:38:35,183.6,
20250526,16:38:36,183.6,
20250526,16:38:36,183.6,
20250526,16:38:36,183.6,
20250526,16:38:36,183.6,
20250526,16:38:37,183.6,
20250526,16:38:37,183.6,
20250526,16:38:37,183.6,
20250526,16:38:37,183.6,
20250526,16:38:38,183.6,
20250526,16:38:38,183.6,
20250526,16:38:38,183.6,
20250526,16:38:39,183.6,
20250526,16:38:39,183.6,
20250526,16:38:39,183.6,
20250526,16:38:39,183.6,
20250526,16:38:40,183.6,
20250526,16:38:40,183.6,
20250526,16:38:40,183.6,
20250526,16:38:41,183.6,
20250526,16:38:41,183.6,
20250526,16:38:41,183.6,
20250526,16:38:41,183.6,
20250526,16:38:42,183.6,
20250526,16:38:42,183.6,
20250526,16:38:42,183.6,
20250526,16:38:42,183.6,
20250526,16:38:43,183.6,
20250526,16:38:43,183.6,
20250526,16:38:43,183.6,
20250526,16:38:44,183.6,
20250526,16:38:44,183.6,
20250526,16:38:44,183.6,
20250526,16:38:44,183.6,
20250526,16:38:45,183.6,
20250526,16:38:45,183.6,
20250526,16:38:45,183.6,
20250526,16:38:45,183.6,
20250526,16:38:46,183.6,
20250526,16:38:46,183.6,
20250526,16:38:46,183.6,
20250526,16:38:47,183.6,
20250526,16:38:47,183.6,
20250526,16:38:47,183.6,
20250526,16:38:47,183.6,
20250526,16:38:48,183.6,
20250526,16:38:48,183.6,
20250526,16:38:48,183.6,
20250526,16:38:49,183.6,
20250526,16:38:49,183.6,
20250526,16:38:49,183.6,
20250526,16:38:49,183.6,
20250526,16:38:50,183.6,
20250526,16:38:50,183.6,
20250526,16:38:50,183.6,
20250526,16:38:50,183.6,
20250526,16:38:51,183.6,
20250526,16:38:51,183.6,
20250526,16:38:51,183.6,
20250526,16:38:52,183.6,
20250526,16:38:52,183.6,
20250526,16:38:52,183.6,
20250526,16:38:52,183.6,
20250526,16:38:53,183.6,
20250526,16:38:53,183.6,
20250526,16:38:53,183.6,
20250526,16:38:54,183.6,
20250526,16:38:54,183.6,
20250526,16:38:54,183.6,
20250526,16:38:54,183.6,
20250526,16:38:55,183.6,
20250526,16:38:55,183.6,
20250526,16:38:55,183.6,
20250526,16:38:55,183.6,
20250526,16:38:56,183.6,
20250526,16:38:56,183.6,
20250526,16:38:56,183.6,
20250526,16:38:57,183.6,
20250526,16:38:57,183.6,
20250526,16:38:57,183.6,
20250526,16:38:57,183.6,
20250526,16:38:58,183.6,
20250526,16:38:58,183.6,
20250526,16:38:58,183.6,
20250526,16:38:59,183.6,
20250526,16:38:59,183.6,
20250526,16:38:59,183.6,
20250526,16:38:59,183.6,
20250526,16:39:00,183.6,
20250526,16:39:00,183.6,
20250526,16:39:00,183.6,
20250526,16:39:00,183.6,
20250526,16:39:01,183.6,
20250526,16:39:01,183.6,
20250526,16:39:01,183.6,
20250526,16:39:02,183.6,
20250526,16:39:02,183.6,
20250526,16:39:02,183.6,
20250526,16:39:02,183.6,
20250526,16:39:03,183.6,
20250526,16:39:03,183.6,
20250526,16:39:03,183.6,
20250526,16:39:03,183.6,
20250526,16:39:04,183.6,
20250526,16:39:04,183.6,
20250526,16:39:04,183.6,
20250526,16:39:05,183.6,
20250526,16:39:05,183.6,
20250526,16:39:05,183.6,
20250526,16:39:05,183.6,
20250526,16:39:06,183.6,
20250526,16:39:06,183.6,
20250526,16:39:06,183.6,
20250526,16:39:07,183.6,
20250526,16:39:07,183.6,
20250526,16:39:07,183.6,
20250526,16:39:07,183.6,
20250526,16:39:08,183.6,
20250526,16:39:08,183.6,
20250526,16:39:08,183.6,
20250526,16:39:08,183.6,
20250526,16:39:09,183.6,
20250526,16:39:09,183.6,
20250526,16:39:09,183.6,
20250526,16:39:10,183.6,
20250526,16:39:10,183.6,
20250526,16:39:10,183.6,
20250526,16:39:10,183.6,
20250526,16:39:11,183.6,
20250526,16:39:11,183.6,
20250526,16:39:11,183.6,
20250526,16:39:12,183.6,
20250526,16:39:12,183.6,
20250526,16:39:12,183.6,
20250526,16:39:12,183.6,
20250526,16:39:13,183.6,
20250526,16:39:13,183.6,
20250526,16:39:13,183.6,
20250526,16:39:13,183.6,
20250526,16:39:14,183.6,
20250526,16:39:14,183.6,
20250526,16:39:14,183.6,
20250526,16:39:15,183.6,
20250526,16:39:15,183.6,
20250526,16:39:15,183.6,
20250526,16:39:15,183.6,
20250526,16:39:16,183.6,
20250526,16:39:16,183.6,
20250526,16:39:16,183.6,
20250526,16:39:17,183.6,
20250526,16:39:17,183.6,
20250526,16:39:17,183.6,
20250526,16:39:17,183.6,
20250526,16:39:18,183.6,
20250526,16:39:18,183.6,
20250526,16:39:18,183.6,
20250526,16:39:18,183.6,
20250526,16:39:19,183.6,
20250526,16:39:19,183.6,
20250526,16:39:19,183.6,
20250526,16:39:20,183.6,
20250526,16:39:20,183.6,
20250526,16:39:20,183.6,
20250526,16:39:20,183.6,
20250526,16:39:21,183.6,
20250526,16:39:21,183.6,
20250526,16:39:21,183.6,
20250526,16:39:21,183.6,
20250526,16:39:22,183.6,
20250526,16:39:22,183.6,
20250526,16:39:22,183.6,
20250526,16:39:23,183.6,
20250526,16:39:23,183.6,
20250526,16:39:23,183.6,
20250526,16:39:23,183.6,
20250526,16:39:24,183.6,
20250526,16:39:24,183.6,
20250526,16:39:24,183.6,
20250526,16:39:25,183.6,
20250526,16:39:25,183.6,
20250526,16:39:25,183.6,
20250526,16:39:25,183.6,
20250526,16:39:26,183.6,
20250526,16:39:26,183.6,
20250526,16:39:26,183.6,
20250526,16:39:26,183.6,
20250526,16:39:27,183.6,
20250526,16:39:27,183.6,
20250526,16:39:27,183.6,
20250526,16:39:28,183.6,
20250526,16:39:28,183.6,
20250526,16:39:28,183.6,
20250526,16:39:28,183.6,
20250526,16:39:29,183.6,
20250526,16:39:29,183.6,
20250526,16:39:29,183.6,
20250526,16:39:30,183.6,
20250526,16:39:30,183.6,
20250526,16:39:30,183.6,
20250526,16:39:30,183.6,
20250526,16:39:31,183.6,
20250526,16:39:31,183.6,
20250526,16:39:31,183.6,
20250526,16:39:31,183.6,
20250526,16:39:32,183.6,
20250526,16:39:32,183.6,
20250526,16:39:32,183.6,
20250526,16:39:33,183.6,
20250526,16:39:33,183.6,
20250526,16:39:33,183.6,
20250526,16:39:33,183.6,
20250526,16:39:34,183.6,
20250526,16:39:34,183.6,
20250526,16:39:34,183.6,
20250526,16:39:35,183.6,
20250526,16:39:35,183.6,
20250526,16:39:35,183.6,
20250526,16:39:35,183.6,
20250526,16:39:36,183.6,
20250526,16:39:36,183.6,
20250526,16:39:36,183.6,
20250526,16:39:36,183.6,
20250526,16:39:37,183.6,
20250526,16:39:37,183.6,
20250526,16:39:37,183.6,
20250526,16:39:38,183.6,
20250526,16:39:38,183.6,
20250526,16:39:38,183.6,
20250526,16:39:38,183.6,
20250526,16:39:39,183.6,
20250526,16:39:39,183.6,
20250526,16:39:39,183.6,
20250526,16:39:39,183.6,
20250526,16:39:40,183.6,
20250526,16:39:40,183.6,
